address,id,latitude,longitude,city,name,zip code,Drive-Thru,Bagels in the Bou,Order Ahead,WiFi,Nitro on Tap,Catering,Walk-Up Window
"2360 Badger Drive Hudson, WI",8865412,44.96131896972656,-92.72457122802734,Hudson,Hudson Center,54016,1,1,1,0,0,0,0
"2351 Coulee Road Hudson, WI",8865666,44.964237213134766,-92.72671508789062,Hudson,Family Fresh Market - Hudson,54016,0,0,0,0,0,0,0
"105 Carmichael Road Hudson, WI",8865411,44.9658203125,-92.72196960449219,Hudson,Hudson Marketplace,54016,0,1,1,1,0,0,0
"9955 Hudson Place Woodbury, MN",8865396,44.94397735595703,-92.90470886230469,Woodbury,Woodbury Marketplace,55125,0,1,1,1,1,0,0
"8320 City Centre Drive Woodbury, MN",8865631,44.920799255371094,-92.93841552734375,Woodbury,Woodbury - City Center Drive,55125,0,0,1,1,0,0,0
"365 Radio Drive Woodbury, MN",8865374,44.94239807128906,-92.93206787109375,Woodbury,Coffee & Bagels City Place,55125,1,1,0,1,0,1,0
"8360 3rd Street North Oakdale, MN",8865394,44.95184326171875,-92.93504333496094,Oakdale,Oakdale Village,55128,0,1,1,1,0,0,0
"303 S Main Street River Falls, WI",8865667,44.856651306152344,-92.62748718261719,River Falls,Family Fresh Market - River Falls,54022,0,0,0,1,0,0,0
"7050 Valley Creek Plaza Woodbury, MN",8865630,44.927181243896484,-92.96382141113281,Woodbury,Lunds & Byerlys - Woodbury,55125,0,0,0,0,0,0,0
"1005 Eagle Ridge Drive Prescott, WI",8865664,44.762550354003906,-92.78936004638672,Prescott,Ptacek's Iga,54021,1,0,0,0,0,0,0
"1830 Market Drive Stillwater, MN",8865377,45.03901672363281,-92.8420639038086,Stillwater,Stillwater - Marketplace III,55082,0,1,1,1,0,0,0
"7009 10th Street North Oakdale, MN",8865395,44.962867736816406,-92.9636001586914,Oakdale,Bergen Plaza,55128,1,1,1,1,1,0,0
"6014 Highway 36 Oakdale, MN",8865399,45.020755767822266,-92.98436737060547,Oakdale,Highway 36 & Century,55128,1,1,1,1,1,0,0
"7145 East Point Douglas Road South Cottage Grove, MN",8865398,44.83304977416992,-92.96006774902344,Cottage Grove,Cottage Grove - East Point Douglas,55016,0,1,1,1,0,0,0
"9008 Cahill Avenue Inver Grove Heights, MN",8865380,44.81909942626953,-93.03863525390625,Inver Grove Heights,Inver Grove Heights - Cahill & Concord,55076,1,1,1,1,0,0,0
"1823 Market Boulevard Hastings, MN",8865620,44.73701477050781,-92.89376068115234,Hastings,Hastings - Market Blvd,55033,1,1,1,1,0,0,0
"5763 Blaine Avenue Inver Grove Heights, MN",8865386,44.86583709716797,-93.05611419677734,Inver Grove Heights,Inver Grove Heights - Upper 55th & Blaine,55076,1,1,1,1,0,0,0
"730 Apollo Drive Lino Lakes, MN",8865402,45.18236541748047,-93.10789489746094,Lino Lakes,Lino Lakes - Apollo Drive,55014,1,1,1,1,0,0,0
"4345 Pheasant Ridge Drive Blaine, MN",8865456,45.163597106933594,-93.159912109375,Blaine,Lexington & I-35,55449,0,1,1,0,0,0,0
"12417 Ulysses Street Blaine, MN",8865455,45.196495056152344,-93.23568725585938,Blaine,242 & 65,55434,0,1,1,1,0,0,0
"4733 Highway 61 White Bear Lake, MN",8865375,45.08517837524414,-93.0108642578125,White Bear Lake,Coffee & Bagels White Bear Lake,55110,1,1,0,1,0,1,0
"4630 Centerville Road White Bear Lake, MN",10853384,45.081390380859375,-93.05542755126953,White Bear Lake,Lunds & Byerlys - White Bear Lake,55110,0,0,0,1,0,0,0
"1080 Highway 96 White Bear Lake, MN",8865376,45.0786247253418,-93.05463409423828,White Bear Lake,White Bear Lake - 35 & 96,55127,1,1,1,1,0,0,0
"112 Chieftain Street Osceola, WI",8865665,45.32024383544922,-92.70403289794922,Osceola,Dick's Fresh Market - Osceola,54020,0,0,0,1,0,0,0
"10400 Baltimore Street Blaine, MN",8865459,45.159244537353516,-93.23424530029297,Blaine,Blaine - 105th Avenue NE,55449,1,1,1,1,0,0,0
"113 Village Center Drive North Oaks, MN",8865621,45.08014678955078,-93.11473846435547,North Oaks,North Oaks,55127,0,0,1,1,0,0,0
"8200 Coral Sea Street NE St.Paul, MN",8865679,45.118675231933594,-93.19925689697266,St.Paul,Medtronic - Not open to the public,55112,0,0,1,0,0,0,0
"3868 150th Street West Rosemount, MN",8865373,44.73123550415039,-93.14366149902344,Rosemount,Rosemount Commons,55068,1,1,1,1,0,0,0
"610 Opperman Drive Eagan, MN",8865629,44.824974060058594,-93.11298370361328,Eagan,Thomson Reuters,55123,0,0,1,0,0,0,0
"2900 Ames Crossing Road Eagan, MN",10919820,44.85111999511719,-93.10858917236328,Eagan,Prime Therapeutics,55121,0,0,0,0,0,0,0
"3405 Promenade Avenue Eagan, MN",8865379,44.83296585083008,-93.15361785888672,Eagan,Coffee & Bagels City Vue Commons,55121,1,1,0,1,0,1,0
"2751 County Road E White Bear Lake, MN",8865385,45.0506591796875,-92.9856948852539,White Bear Lake,Coffee & Bagels White Bear Lake - Century and County Road E,55110,1,1,0,1,0,1,0
"3100 White Bear Avenue North Maplewood, MN",8865401,45.03533935546875,-93.01705932617188,Maplewood,Maplewood - White Bear Ave,55109,1,1,1,1,1,0,0
"3001 White Bear Avenue Maplewood, MN",8865400,45.03169631958008,-93.02195739746094,Maplewood,Maplewood Mall,55109,0,1,0,1,0,0,0
"185 Century Ave Woodbury, MN",9061075,44.94615173339844,-92.9838638305664,Woodbury,Coffee & Bagels Woodbury - Century Ave,55125,1,1,0,1,1,0,0
"110 West 4th Street New Richmond, WI",8865663,45.11869812011719,-92.53868865966797,New Richmond,Family Fresh Market - New Richmond,54017,0,0,0,0,0,0,0
"1193 South Robert Street West St. Paul, MN",8865378,44.910213470458984,-93.08123779296875,West St. Paul,West St. Paul - South Robert,55118,1,1,1,1,1,0,0
"2133 Old Hudson Road St. Paul, MN",8865622,44.9517822265625,-93.01043701171875,St. Paul,Sun Ray Bruegger's Co-Brand,55119,1,0,0,1,0,0,0
"720 Main Street Mendota Heights, MN",8865403,44.884525299072266,-93.120361328125,Mendota Heights,Mendota Heights Town Center,55118,0,1,1,1,0,0,0
"2864 Highway 55 Eagan, MN",8865389,44.85398483276367,-93.13114166259766,Eagan,Eagan - Hwy 55,55121,1,1,1,1,0,0,0
"5911 St. Croix Trail North Branch, MN",8865388,45.510562896728516,-92.98851776123047,North Branch,Coffee & Bagels North Branch,55056,1,1,0,1,0,1,0
"2515 White Bear Avenue Maplewood, MN",8865397,45.01795196533203,-93.0205307006836,Maplewood,Maple Ridge Shopping Center,55109,0,1,1,1,0,0,0
"3354 Rice Street Little Canada, MN",8865381,45.04304504394531,-93.10572052001953,Little Canada,Little Canada - Rice Street,55126,1,1,1,1,0,0,0
"209 6th Avenue Northeast Isanti, MN",8865676,45.4915771484375,-93.2355728149414,Isanti,Coborn's - Isanti,55040,1,0,0,1,0,0,0
"1595 Second Avenue Northeast Cambridge, MN",8865450,45.57319641113281,-93.20516967773438,Cambridge,Cambridge - 2nd Ave,55008,1,1,1,1,0,0,0
"1966 Bunker Lake Boulevard NW Andover, MN",8865454,45.21906280517578,-93.31582641601562,Andover,Andover Marketplace East,55304,1,1,1,1,0,0,0
"3507 Round Lake Boulevard NW Anoka, MN",8865427,45.21760559082031,-93.35823822021484,Anoka,Round Lake Blvd,55303,1,1,1,1,0,0,0
"14050 St Francis Boulevard Ramsey, MN",8865430,45.225467681884766,-93.39810180664062,Ramsey,Ramsey - St. Francis Blvd,55303,1,1,1,1,0,0,0
"1835 Gateway Drive Coon Rapids, MN",8865453,45.185333251953125,-93.31321716308594,Coon Rapids,Coon Rapids - Hanson Blvd & Gateway Drive,55433,1,1,1,1,0,0,0
"3536 Main Street Coon Rapids, MN",8865424,45.19697570800781,-93.35545349121094,Coon Rapids,Coon Rapids - Main Street,55448,1,1,1,1,0,0,0
"2022 Northdale Boulevard Coon Rapids, MN",8865460,45.18049240112305,-93.31802368164062,Coon Rapids,Coon Rapids - Hanson Blvd,55433,0,1,1,1,0,0,0
"101 West Main Street Anoka, MN",8865451,45.19953918457031,-93.39286041259766,Anoka,Anoka - West Main,55303,1,1,1,1,0,0,0
"7988 Sunwood Drive NW Ramsey, MN",8865429,45.235191345214844,-93.4694595336914,Ramsey,Ramsey Town Center,55303,1,1,1,0,0,0,0
"2585 County Road 10 Mounds View, MN",8865458,45.10774612426758,-93.21228790283203,Mounds View,Mounds View - County Rd 10,55112,1,1,1,1,0,0,0
"8097 Highway 65 Spring Lake Park, MN",8865457,45.11481475830078,-93.24102020263672,Spring Lake Park,Spring Lake Park - Hwy 65,55432,1,1,1,1,0,0,0
"19425 Evans Street Northwest Elk River, MN",8865675,45.32335662841797,-93.55934143066406,Elk River,Coborn's - Elk River,55330,1,0,1,1,0,0,0
"19260 Freeport Street NW Elk River, MN",8865433,45.3193244934082,-93.56383514404297,Elk River,Elk River - Freeport Street,55330,0,1,1,1,0,0,0
"18157 Carson Court Elk River, MN",8865415,45.30036544799805,-93.55480194091797,Elk River,Carson Street Station,55330,1,1,1,0,0,0,0
"703 Northland Drive Princeton, MN",8865426,45.55685043334961,-93.58406829833984,Princeton,Coffee & Bagels Princeton,55371,1,1,0,1,0,1,0
"3673 Lexington Avenue North Arden Hills, MN",8865384,45.05165481567383,-93.14763641357422,Arden Hills,Arden Hills - Lexington & 694,55126,1,1,1,1,0,0,0
"2218 County Road D Roseville, MN",8865387,45.03544998168945,-93.19444274902344,Roseville,Roseville - Tower Glen,55112,0,1,1,0,1,0,0
"13635 Northdale Boulevard Rogers, MN",8865432,45.20189666748047,-93.55523681640625,Rogers,Rogers - I94 and 101,55374,1,1,1,1,0,0,0
"726 Martin Avenue Big Lake, MN",8865416,45.33426284790039,-93.73472595214844,Big Lake,Big Lake - Town Square,55309,0,1,1,1,0,0,0
"11008 61st Street Northeast Albertville, MN",8865431,45.239723205566406,-93.66380310058594,Albertville,Albertville - 61st Avenue,55301,1,1,1,1,0,0,0
"5698 La Centre Avenue NE Albertville, MN",8865678,45.233890533447266,-93.6608657836914,Albertville,Coborn's - Albertville,55301,1,0,0,1,0,0,0
"1523 7th Street East Monticello, MN",8865419,45.292991638183594,-93.77142333984375,Monticello,Union Crossing,55362,1,1,1,0,0,0,0
"272 57th Avenue NE Fridley, MN",8865417,45.07130813598633,-93.26683044433594,Fridley,Coffee & Bagels Fridley Market,55432,1,1,0,1,0,1,0
"2700 39th Avenue NE Minneapolis, MN",8865360,45.03927230834961,-93.2201919555664,Minneapolis,Silver Lake Village,55421,0,1,1,1,0,0,0
"1180 Shingle Creek Parkway Brooklyn Center, MN",8865446,45.05860137939453,-93.31634521484375,Brooklyn Center,Coffee & Bagels Shingle Creek Crossing,55430,1,1,0,1,0,1,0
"3900 Lakebreeze Avenue N Brooklyn Center, MN",8865447,45.04384231567383,-93.33049011230469,Brooklyn Center,Brooklyn Center HQ,55429,0,1,1,1,1,0,0
"1730 New Brighton Boulevard Minneapolis, MN",8865361,45.00566864013672,-93.2280502319336,Minneapolis,Minneapolis - The Quarry,55413,0,1,1,1,1,0,0
"8559 Edinburgh Centre Drive North Brooklyn Park, MN",8865421,45.11068344116211,-93.30548858642578,Brooklyn Park,Brooklyn Park - Edinburgh Center,55443,0,1,1,1,0,0,0
"25 University Avenue Southeast Minneapolis, MN",8865607,44.9874382019043,-93.25523376464844,Minneapolis,Lunds & Byerlys - Northeast Minneapolis,55414,0,0,0,0,0,0,0
"8601 Springbrook Drive Blaine, MN",8865452,45.12626647949219,-93.26636505126953,Blaine,Springbrook,55433,0,1,1,1,0,0,0
"9638 Colorado Lane North Brooklyn Park, MN",8865436,45.13188934326172,-93.35709381103516,Brooklyn Park,Brooklyn Park - 610 and Zane,55445,1,1,1,1,0,0,0
"11468 Jefferson Court Champlin, MN",8865423,45.16083526611328,-93.39266967773438,Champlin,Champlin (Hwy 169 & Elm Creek Pkwy),55316,1,1,1,1,0,0,0
"402 Fire Monument Road Hinckley, MN",8865554,46.01075744628906,-92.9300537109375,Hinckley,Tobie's Station,55037,0,0,0,1,0,0,0
"100 6th Street Monticello, MN",8865420,45.30157470703125,-93.79779815673828,Monticello,Monticello - 6th St,55362,1,1,1,1,0,0,0
