id,city,address,zip code,latitude,longitude,features,name,ownership,storeNumber,Mobile Payment,Digital Rewards,LaBoulange,Bakery,My Starbucks Rewards,Wireless Hotspot,Drive-Thru,Oven-warmed Food,Verismo,Mobile Order and Pay,Music Experience,Lunch,tbd - Blonde Espresso,Google Wi-Fi,Nitro Cold Brew,Starbucks Reserve-Clover Brewed,Playbook Store System,tbd - Coffee Scale
12797,Stillwater,2021 Market Dr,55082,45.037086,-92.840645,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}]",Target Stillwater T-931,LS,76130-88841,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9656,Stillwater,5801 Neal Ave N,55082,45.032512,-92.844614,"[{u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}]",Kowalski-Stillwater/Oak Park,LS,79211-97807,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17327,Oak Park Heights,5980 Neal Ave. N.,55082,45.034542,-92.845985,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hwy 36 and Hwy 5 - 5980 Neal,CO,13347-106328,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
1019139,Hudson,2401 Coulee Rd,54016,44.966231,-92.722639,[],TARGET HUDSON T-1235,LS,52138-280449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7917,Hudson,1001 Pearson Dr.,54016,44.959621,-92.720443,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'NB', u'name': u'Nitro Cold Brew'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hudson-I-94 & Carmichael,CO,10123-98419,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
1008945,Woodbury,610 Woodbury Dr.,55125,44.939993,-92.903995,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'CL', u'name': u'Starbucks Reserve-Clover Brewed'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Woodbury Dr. and Commerce,CO,21296-210564,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0
8387,St. Paul,7900 32nd St N,55128,44.996848,-92.94595,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",Target St Paul/Oakdale T-2135,LS,76592-100250,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
20032,Woodbury,449 Commerce Dr,55125,44.941501,-92.913452,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target Woodbury East T-2406,LS,15230-138227,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0
13631,Woodbury,8362 Tamarack Village,55125,44.943537,-92.935392,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",8362 Tamarack Village,CO,2529-35559,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
1013305,Oakdale,7180 10th St N,55128,44.964643,-92.960639,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",Hy-Vee - Oakdale Main Entrance,LS,27918-247538,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1013186,Oakdale,7120 10th St North,55128,44.963803,-92.962575,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hy-Vee Oakdale,LS,26824-243087,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
11057,Woodbury,8505 Valley Creek Rd.,55125,44.919563,-92.933534,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Kowalski - Woodbury,LS,72701-27209,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1013307,Woodbury,7200 Valley Creek Plaza,55125,44.927168,-92.960317,[],Target Woodbury T-0694,LS,28021-242084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006448,Woodbury,7230 Valley Creek Rd,55125,44.92505,-92.960696,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'CL', u'name': u'Starbucks Reserve-Clover Brewed'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",7230 Valley Creek Road,CO,2241-213605,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0
1022341,North St. Paul,2199  Hwy 36 E,55109,45.013297,-93.009757,[],TARGET NORTH ST. PAUL T-1185,LS,56276-289226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014328,White Bear Lake,1950 Buerkle Rd,55110,45.038316,-93.018614,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'CS', u'name': u'tbd - Coffee Scale'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",White Bear Ave & I-694,CO,27985-249186,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1011772,Woodbury,7760 Hargis Parkway,55129,44.890903,-92.944255,[],Jerry's Foods - Woodbury,LS,25759-235385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13227,White Bear Lake,4391 S. Lake Ave.,55110,45.074223,-93.017115,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}]",Kowalski-White Bear Lake #4727,LS,72719-36379,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1006160,St. Paul,1744 Suburban Ave,55106,44.95103,-93.02734,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",Target St. Paul T-68,LS,20425-204771,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
1006159,Vadnais Heights,975 County Rd E,55127,45.050379,-93.062016,"[{u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}]",Target Vadnais Heights T-751,LS,20341-204767,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015750,Vadnais Heights,1016 E Hwy 96,55127,45.078811,-93.05713,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hwy 96 and Centerville Road,CO,25515-241175,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0
