address,id,latitude,longitude,city,name,zip code,brand,WiFi,Bagels in the Bou,Nitro on Tap,Order Ahead,Gluten-Free Offerings,Drive-Thru,Gluten Free Offerings,Limited Coffee Menu,Catering
"9955 Hudson Place Woodbury, MN",8865396,44.9439755819839,-92.90470764040947,Woodbury,Woodbury Marketplace,55125,Caribou,1,1,1,1,1,0,0,0,0
"8320 City Centre Drive Woodbury, MN",8865631,44.920800179692954,-92.93841361999512,Woodbury,Woodbury - City Center Drive,55125,Caribou,1,0,1,1,1,0,0,0,0
"365 Radio Drive Woodbury, MN",8865374,44.942397938551295,-92.9320715367794,Woodbury,Coffee & Bagels City Place,55125,Caribou,1,0,1,1,0,0,0,0,0
"7050 Valley Creek Plaza Woodbury, MN",8865630,44.92718305049149,-92.96381929447739,Woodbury,Lunds & Byerlys - Woodbury,55125,Caribou,0,0,0,0,0,0,0,0,0
"2360 Badger Drive Hudson, Wi",8865412,44.961318257850955,-92.72456914186472,Hudson,Hudson Center,54016,Caribou,0,1,0,1,1,1,0,0,0
"105 Carmichael Road Hudson, Wi",8865411,44.96582053543435,-92.72197210211374,Hudson,Hudson Marketplace,54016,Caribou,1,1,0,1,1,0,0,0,0
"7009 10th Street North Oakdale, MN",8865395,44.9628691,-92.9636024,Oakdale,Bergen Plaza,55128,Caribou,1,1,1,1,1,1,0,0,0
"185 Century Ave. Woodbury, MN",9061075,44.946152914494405,-92.98386090674592,Woodbury,Coffee & Bagels Woodbury - Century Ave,55125,Caribou,0,0,0,1,0,0,0,0,0
"7145 East Point Douglas Road South Cottage Grove, MN",8865398,44.8330503,-92.9600668,Cottage Grove,Cottage Grove - East Point Douglas,55016,Caribou,1,1,1,1,1,0,0,0,0
"2133 Old Hudson Road St. Paul, MN",8865622,44.9517814,-93.0104407,St. Paul,Sun Ray Bruegger's Co-Brand,55119,Caribou,1,0,0,0,0,1,0,0,0
"1830 Market Drive Stillwater, MN",8865377,45.03901636053575,-92.84206062555313,Stillwater,Stillwater - Marketplace III,55082,Caribou,1,1,1,1,1,0,0,0,0
"1005 Eagle Ridge Drive Prescott, Wi",8865664,44.7623583,-92.7889009,Prescott,Ptacek's Iga,54021,Caribou,0,0,0,0,0,1,0,0,0
"6014 Highway 36 Oakdale, MN",8865399,45.02075397055351,-92.98436522483826,Oakdale,Highway 36 & Century,55128,Caribou,1,1,1,1,1,1,0,0,0
"303 S Main Street River Falls, Wi",8865667,44.8566511,-92.627484,River Falls,Family Fresh Market - River Falls,54022,Caribou,1,0,0,0,0,0,0,0,0
"5763 Blaine Avenue Inver Grove Heights, MN",8865386,44.8658366,-93.0561135,Inver Grove Heights,Inver Grove Heights - Upper 55th & Blaine,55076,Caribou,1,1,1,1,1,1,0,0,0
"9008 Cahill Avenue Inver Grove Heights, MN",8865380,44.8190981,-93.0386348,Inver Grove Heights,Inver Grove Heights - Cahill & Concord,55076,Caribou,1,1,1,1,1,1,0,0,0
"2515 White Bear Avenue Maplewood, MN",8865397,45.01795078264798,-93.02053213119507,Maplewood,Maple Ridge Shopping Center,55109,Caribou,1,1,0,1,1,0,0,0,0
"1193 South Robert Street West St. Paul, MN",8865378,44.91021290726577,-93.08123856782919,West St. Paul,West St. Paul - South Robert,55118,Caribou,1,1,1,1,1,1,0,0,0
"2751 County Road E White Bear Lake, MN",8865385,45.05066094590387,-92.98569425940514,White Bear Lake,Coffee & Bagels White Bear Lake - Century and County Road E,55110,Caribou,1,0,1,1,0,0,0,0,0
"1823 Market Boulevard Hastings, MN",8865620,44.7370165,-92.8937579,Hastings,Hastings - Market Blvd,55033,Caribou,1,1,1,1,1,1,0,0,0
"3100 White Bear Avenue North Maplewood, MN",8865401,45.035338381204575,-93.01705867052084,Maplewood,Maplewood - White Bear Ave,55109,Caribou,1,1,1,1,1,1,0,0,0
"3001 White Bear Avenue Maplewood, MN",8865400,45.03169712887248,-93.02195370197296,Maplewood,Maplewood Mall,55109,Caribou,1,1,0,0,1,0,0,0,0
"4733 Highway 61 White Bear Lake, MN",8865375,45.085179945728946,-93.01086544990545,White Bear Lake,Coffee & Bagels White Bear Lake,55110,Caribou,1,0,1,1,0,0,0,0,0
"110 West 4th Street New Richmond, Wi",8865663,45.1188665,-92.5389648,New Richmond,Family Fresh Market - New Richmond,54017,Caribou,0,0,0,0,0,0,0,0,0
"1080 Highway 96 White Bear Lake, MN",8865376,45.078625174788506,-93.05463105440134,White Bear Lake,White Bear Lake - 35 & 96,55127,Caribou,1,1,0,1,1,1,0,0,0
"4630 Centerville Road White Bear Lake, MN",10853384,45.08139191540208,-93.0554305369161,White Bear Lake,Lunds & Byerlys - White Bear Lake,55110,Caribou,1,0,0,0,0,0,0,0,0
"2900 Ames Crossing Road Eagan, MN",10919820,44.8519219,-93.1079574,Eagan,Prime Therapeutics - Not open to the public,55121,Caribou,0,0,0,0,0,0,0,0,0
"610 Opperman Drive Eagan, MN",8865629,44.82497436287143,-93.11298235581967,Eagan,Thomson Reuters,55123,Caribou,0,0,0,1,0,0,0,0,0
"2864 Highway 55 Eagan, MN",8865389,44.85398641710763,-93.13114374876022,Eagan,Eagan - Hwy 55,55121,Caribou,1,1,1,1,1,1,0,0,0
"720 Main Street Mendota Heights, MN",8865403,44.884526775355255,-93.12035858631134,Mendota Heights,Mendota Heights Town Center,55118,Caribou,1,1,1,1,1,0,0,0,0
