brand,id,city,address,zip code,latitude,longitude,name,ownership,storeNumber,Drive-Thru,Oven-warmed Food,Mobile Payment,LaBoulange,Google Wi-Fi,Mobile Order and Pay,Music Experience,Nitro Cold Brew,Lunch,My Starbucks Rewards,Playbook Store System,tbd - Blonde Espresso,Digital Rewards,Bakery,Wireless Hotspot,Verismo,Starbucks Reserve-Clover Brewed,tbd - Coffee Scale
Starbucks,1008945,Woodbury,610 Woodbury Dr.,55125,44.939993,-92.903995,Woodbury Dr. and Commerce,CO,21296-210564,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Starbucks,20032,Woodbury,449 Commerce Dr.,55125,44.941501,-92.913452,Target Woodbury East T-2406,LS,15230-138227,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
Starbucks,11057,Woodbury,8505 Valley Creek Rd.,55125,44.918113,-92.932891,Kowalski - Woodbury,LS,72701-27209,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
Starbucks,13631,Woodbury,8362 Tamarack Village,55125,44.943537,-92.935392,8362 Tamarack Village,CO,2529-35559,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,1011772,Woodbury,7760 Hargis Parkway,55129,44.890903,-92.944255,Jerry's Foods - Woodbury,LS,25759-235385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1013307,Woodbury,7200 Valley Creek Plaza,55125,44.926587,-92.959291,Target Woodbury T-0694,LS,28021-242084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1006448,Woodbury,7230 Valley Creek Rd.,55125,44.92505,-92.960696,7230 Valley Creek Road,CO,2241-213605,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
Starbucks,7917,Hudson,1001 Pearson Dr.,54016,44.959621,-92.720443,Hudson-I-94 & Carmichael,CO,10123-98419,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1019139,Hudson,2401 Coulee Rd.,54016,44.966231,-92.722639,TARGET HUDSON T-1235,LS,52138-280449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1013305,Oakdale,7180 10th St. N,55128,44.964643,-92.960639,Hy-Vee - Oakdale Main Entrance,LS,27918-247538,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Starbucks,1013186,Oakdale,7120 10th St. North,55128,44.963803,-92.962575,Hy-Vee Oakdale,LS,26824-243087,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Starbucks,1005912,Cottage Grove,8655 E Point Douglas Rd. S,55016,44.816736,-92.930314,Target Cottage Grove T-662,LS,20345-204770,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
Starbucks,9585,Cottage Grove,7190 East Point Douglas Rd. S,55016,44.8331,-92.957079,Cottage Grove-E. Point Douglas,CO,9479-96696,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0
Starbucks,1019349,Cottage Grove,7280 E Point Douglas Rd.,55016,44.830876,-92.958042,Hy-Vee Cottage Grove,LS,50771-276115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,8387,Oakdale,7900 32nd St. N,55128,44.996848,-92.94595,Target St Paul/Oakdale T-2135,LS,76592-100250,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Starbucks,9656,Oak Park Heights,5801 Neal Ave. N,55082,45.033232,-92.844491,Kowalski-Stillwater/Oak Park,LS,79211-97807,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Starbucks,17327,Oak Park Heights,5980 Neal Ave. N,55082,45.034542,-92.845985,Hwy 36 and Hwy 5 - 5980 Neal,CO,13347-106328,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0
